Longitude,Latitude,Depth,Magnitude,Mag. Type,Year,Month,Day,Time
116.935,-10.572,33,3.9,mb,1988,10,10,11:50:39
117.071,-10.436,38.6,4.6,mb,1988,10,10,20:50:57
115.976,-7.703,245.2,4.4,mb,1988,10,26,5:58:35
115.331,-7.411,250.7,5,mb,1988,10,30,7:58:55
116.181,-10.383,66.5,4.9,mb,1988,11,16,16:39:39
116.02,-8.228,33,5.1,mb,1988,11,23,5:22:26
116.483,-8.683,117.2,4.4,mb,1988,11,24,20:54:17
115.967,-8.377,33,4.6,mb,1988,11,26,6:35:05
117.379,-11.481,33,4.2,mb,1989,1,8,10:31:42
116.727,-7.895,277.4,4.3,mb,1989,1,10,23:13:05
117.372,-11.543,33,4.8,mb,1989,1,19,10:43:40
115.355,-7.961,228.8,4.7,mb,1989,1,31,16:40:28
117.435,-8.073,213.5,4.8,mb,1989,2,15,3:27:57
116.116,-8.308,172.1,4.4,mb,1989,2,19,21:43:28
117.268,-9.573,33,4.6,mb,1989,2,22,8:25:20
117.448,-8.034,21.4,4.2,mb,1989,2,25,21:50:19
116.29,-8.261,167.7,4.4,mb,1989,3,22,19:14:28
117.06,-7.993,218.9,4.2,mb,1989,3,27,2:22:31
115.512,-8.966,33,4.7,mb,1989,4,22,6:19:37
114.634,-8.489,141.1,4.9,mb,1989,5,19,19:37:45
117.517,-7.865,245.2,5.7,mw,1989,6,9,15:34:11
117.581,-8.112,242,4.6,mb,1989,6,9,16:38:13
116.14,-10.076,55.1,4.9,mb,1989,6,21,0:43:47
117.777,-8.808,33,4.6,mb,1989,7,10,0:22:44
116.045,-9.013,33,4.9,mb,1989,9,3,19:01:25
116.603,-8.955,33,4.6,mb,1989,9,19,2:38:28
115.892,-8.463,33,4.9,mb,1989,9,30,14:42:15
115.337,-8.845,152.5,3.5,mb,1989,11,19,0:08:03
117.826,-10.171,36.3,5.3,mw,1990,1,13,20:03:41
117.697,-9.49,101.5,4.3,mb,1990,1,26,5:02:30
117.612,-8.826,110.2,4.1,mb,1990,2,16,5:13:21
117.44,-11.147,21.9,5.5,mw,1990,3,6,13:30:58
116.848,-9.063,33,4.1,mb,1990,3,25,5:51:38
117.829,-10.029,33,3.4,mb,1990,4,13,18:10:57
114.844,-11.536,33,3.4,mb,1990,4,18,13:22:20
116.172,-7.714,313.9,4.4,mb,1990,5,10,12:36:28
117.63,-8.331,33,4.7,mb,1990,5,13,16:50:56
117.223,-7.912,293.2,3.9,mb,1990,6,17,6:39:59
117.833,-8.971,71.4,5.2,mb,1990,6,22,9:22:40
117.719,-8.243,33,4.4,mb,1990,7,3,18:09:24
117.183,-11.575,33,3.8,mb,1990,7,19,12:26:23
114.61,-9.39,42.7,4.8,mb,1990,7,23,2:58:31
116.683,-9.708,33,3.8,mb,1990,8,25,0:33:59
116.65,-11.623,33,3.4,mb,1990,10,6,21:10:20
117.483,-11.582,33,3.9,mb,1990,10,8,21:48:11
114.607,-10.047,70.3,5.4,mw,1990,10,15,19:50:24
116.511,-9.919,71.7,5.1,mb,1990,11,8,7:06:16
117.573,-11.522,33,4.5,mb,1990,11,9,20:59:49
117.414,-9.481,33,5,mb,1991,2,21,10:38:50
114.896,-9.127,78,4.7,mb,1991,2,24,18:53:12
115.639,-9.499,33,5.4,mb,1991,3,11,1:44:56
114.467,-8.271,33,4.7,mb,1991,4,24,18:31:44
114.673,-9.585,53.7,6.1,mw,1991,7,5,4:30:52
114.608,-9.965,33,4.9,mb,1991,7,5,4:40:12
117.574,-10.613,82.6,4.6,mb,1991,8,6,20:26:29
117.713,-9.544,33,4.1,mb,1991,8,11,4:45:00
116.554,-8.032,182.4,4.5,mb,1991,9,24,4:38:41
115.83,-8.909,101.5,4.7,mb,1991,10,4,22:11:39
117.161,-10.553,50.2,5.4,mw,1991,10,7,19:56:21
117.454,-7.599,312.5,5.1,mb,1991,10,11,10:44:50
